Date,MaxTemp,site number,site name
24/11/2020,24.6,,
25/11/2020,25,,
26/11/2020,28.3,,
27/11/2020,27.1,,
28/11/2020,40.8,,
29/11/2020,40.5,,
30/11/2020,27.3,,
01/12/2020,28.4,,
02/12/2020,24,,
03/12/2020,23,,
04/12/2020,30,,
05/12/2020,25.1,,
06/12/2020,30.7,,
07/12/2020,30.8,,
08/12/2020,24.5,,
09/12/2020,26.7,,
10/12/2020,27.3,,
11/12/2020,23.9,,
12/12/2020,25.1,,
13/12/2020,27.5,,
14/12/2020,24.8,,
15/12/2020,24.8,,
16/12/2020,27.7,,
17/12/2020,30.5,,
18/12/2020,30.3,,
19/12/2020,19.6,,
20/12/2020,23.7,,
21/12/2020,24.5,,
22/12/2020,27.6,,
23/12/2020,26.3,,
